instance,reference,kind,source
drayage-100-23,103333.87407,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
dws008-01,37412.60458794508,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
eil33-2,934.007915999999,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
enlight_hard,37.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
exp-1-500-5-5,65887.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
ferc__2015-10-01_hw,129755275.35731253,best_observed,best value of any run in traces/
gen-ip054,6840.96564179,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
glass-sc,23.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
graphdraw-domain,19685.99997550038,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
h80x6320d,6382.099048245999,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
hypothyroid-k1,-2851.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
ic97_potential,3941.99993090225,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
istanbul-no-cutoff,204.08170701,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
item_placement_0,13.409801410999783,best_observed,best value of any run in traces/
item_placement_1,59.68807911699987,best_observed,best value of any run in traces/
item_placement_10,18.313999784000035,best_observed,best value of any run in traces/
item_placement_11,26.068309439999982,best_observed,best value of any run in traces/
item_placement_12,16.494115087000043,best_observed,best value of any run in traces/
item_placement_13,23.345160018299943,best_observed,best value of any run in traces/
item_placement_14,23.720734303,best_observed,best value of any run in traces/
item_placement_15,19.498318129894628,best_observed,best value of any run in traces/
item_placement_16,15.323583362000027,best_observed,best value of any run in traces/
item_placement_17,14.7718253362,best_observed,best value of any run in traces/
item_placement_18,12.312649760000042,best_observed,best value of any run in traces/
item_placement_19,33.9099482820001,best_observed,best value of any run in traces/
item_placement_2,23.32000816978998,best_observed,best value of any run in traces/
item_placement_20,18.2304052200001,best_observed,best value of any run in traces/
item_placement_21,23.825167896999993,best_observed,best value of any run in traces/
item_placement_22,19.581602494999938,best_observed,best value of any run in traces/
item_placement_23,20.853115132100026,best_observed,best value of any run in traces/
item_placement_24,14.977955880999373,best_observed,best value of any run in traces/
item_placement_25,22.229539022999997,best_observed,best value of any run in traces/
item_placement_26,28.00224484099994,best_observed,best value of any run in traces/
item_placement_27,12.229531715000016,best_observed,best value of any run in traces/
item_placement_28,21.316890250000025,best_observed,best value of any run in traces/
item_placement_29,18.300678340000015,best_observed,best value of any run in traces/
item_placement_3,10.138630990000056,best_observed,best value of any run in traces/
item_placement_30,16.239516726000065,best_observed,best value of any run in traces/
item_placement_31,14.768279084999984,best_observed,best value of any run in traces/
item_placement_32,19.42816789999999,best_observed,best value of any run in traces/
item_placement_33,23.452222821999946,best_observed,best value of any run in traces/
item_placement_34,15.401608717999892,best_observed,best value of any run in traces/
item_placement_35,15.032875982999922,best_observed,best value of any run in traces/
item_placement_36,13.941502368000027,best_observed,best value of any run in traces/
item_placement_37,18.6161764587,best_observed,best value of any run in traces/
item_placement_38,18.970996409000044,best_observed,best value of any run in traces/
item_placement_39,17.233529179999675,best_observed,best value of any run in traces/
item_placement_4,20.045812189999925,best_observed,best value of any run in traces/
item_placement_40,13.816994235999951,best_observed,best value of any run in traces/
item_placement_41,17.973835442000034,best_observed,best value of any run in traces/
item_placement_42,27.093943903999993,best_observed,best value of any run in traces/
item_placement_43,22.725788924999943,best_observed,best value of any run in traces/
item_placement_44,16.711159849999998,best_observed,best value of any run in traces/
item_placement_45,17.357831940999997,best_observed,best value of any run in traces/
item_placement_46,14.612209259999918,best_observed,best value of any run in traces/
item_placement_47,20.309298124000023,best_observed,best value of any run in traces/
item_placement_48,15.805562663999915,best_observed,best value of any run in traces/
item_placement_49,15.586403073000032,best_observed,best value of any run in traces/
item_placement_5,19.040420268199984,best_observed,best value of any run in traces/
item_placement_50,17.942832286000016,best_observed,best value of any run in traces/
item_placement_51,29.615709930999902,best_observed,best value of any run in traces/
item_placement_52,25.8481583873,best_observed,best value of any run in traces/
item_placement_53,29.551646096000024,best_observed,best value of any run in traces/
item_placement_54,18.15007186000003,best_observed,best value of any run in traces/
item_placement_55,17.39172088499821,best_observed,best value of any run in traces/
item_placement_56,13.902527233657061,best_observed,best value of any run in traces/
item_placement_57,17.728621948999955,best_observed,best value of any run in traces/
item_placement_58,18.926141080999948,best_observed,best value of any run in traces/
item_placement_59,30.40381769100008,best_observed,best value of any run in traces/
item_placement_6,11.962900907499995,best_observed,best value of any run in traces/
item_placement_60,14.145465730000005,best_observed,best value of any run in traces/
item_placement_61,16.144735539999953,best_observed,best value of any run in traces/
item_placement_62,22.408915555000036,best_observed,best value of any run in traces/
item_placement_63,16.303563220999923,best_observed,best value of any run in traces/
item_placement_64,17.005069983998485,best_observed,best value of any run in traces/
item_placement_65,33.0949486779998,best_observed,best value of any run in traces/
item_placement_66,17.36712094700001,best_observed,best value of any run in traces/
item_placement_67,24.02382350299996,best_observed,best value of any run in traces/
item_placement_68,16.36945613099998,best_observed,best value of any run in traces/
item_placement_69,18.650698710000054,best_observed,best value of any run in traces/
item_placement_7,15.70011136599989,best_observed,best value of any run in traces/
item_placement_70,18.101338253000012,best_observed,best value of any run in traces/
item_placement_71,18.530759090000025,best_observed,best value of any run in traces/
item_placement_72,19.14814098750006,best_observed,best value of any run in traces/
item_placement_73,15.00627162699998,best_observed,best value of any run in traces/
item_placement_74,18.442620649000062,best_observed,best value of any run in traces/
item_placement_75,16.448915739000054,best_observed,best value of any run in traces/
item_placement_76,18.300255829000047,best_observed,best value of any run in traces/
item_placement_77,16.616019245999986,best_observed,best value of any run in traces/
item_placement_78,13.94784817400005,best_observed,best value of any run in traces/
item_placement_79,20.332498706686962,best_observed,best value of any run in traces/
item_placement_8,16.871203259999923,best_observed,best value of any run in traces/
item_placement_80,30.24567984939999,best_observed,best value of any run in traces/
item_placement_81,18.3067775019999,best_observed,best value of any run in traces/
item_placement_82,21.518622888099998,best_observed,best value of any run in traces/
item_placement_83,15.091005070000127,best_observed,best value of any run in traces/
item_placement_84,19.38986673300004,best_observed,best value of any run in traces/
item_placement_85,23.44540173399989,best_observed,best value of any run in traces/
item_placement_86,14.63002636100013,best_observed,best value of any run in traces/
item_placement_87,16.432205491000012,best_observed,best value of any run in traces/
item_placement_88,19.25258104099998,best_observed,best value of any run in traces/
item_placement_89,17.08538566700017,best_observed,best value of any run in traces/
item_placement_9,15.968949402000051,best_observed,best value of any run in traces/
item_placement_90,15.188193330000084,best_observed,best value of any run in traces/
item_placement_91,27.688506856609944,best_observed,best value of any run in traces/
item_placement_92,19.736348225000008,best_observed,best value of any run in traces/
item_placement_93,24.25147328899991,best_observed,best value of any run in traces/
item_placement_94,14.678373960000004,best_observed,best value of any run in traces/
item_placement_95,22.33088057100002,best_observed,best value of any run in traces/
item_placement_96,37.397380509999984,best_observed,best value of any run in traces/
item_placement_97,16.548711407399765,best_observed,best value of any run in traces/
item_placement_98,17.30948127900003,best_observed,best value of any run in traces/
item_placement_99,11.224973350599988,best_observed,best value of any run in traces/
item_placement_9900,12.972938282000047,best_observed,best value of any run in traces/
item_placement_9901,19.371801627000032,best_observed,best value of any run in traces/
item_placement_9902,27.57450793480002,best_observed,best value of any run in traces/
item_placement_9903,15.697904137999931,best_observed,best value of any run in traces/
item_placement_9904,19.083759592999982,best_observed,best value of any run in traces/
item_placement_9905,15.885219698999975,best_observed,best value of any run in traces/
item_placement_9906,18.85742547000002,best_observed,best value of any run in traces/
item_placement_9907,14.156872189000005,best_observed,best value of any run in traces/
item_placement_9908,21.760474303999988,best_observed,best value of any run in traces/
item_placement_9909,18.509044178000092,best_observed,best value of any run in traces/
item_placement_9910,10.571878633999997,best_observed,best value of any run in traces/
item_placement_9911,15.487670152999982,best_observed,best value of any run in traces/
item_placement_9912,11.829709189999981,best_observed,best value of any run in traces/
item_placement_9913,22.01946199000004,best_observed,best value of any run in traces/
item_placement_9914,17.37308344999994,best_observed,best value of any run in traces/
item_placement_9915,33.72224561399996,best_observed,best value of any run in traces/
item_placement_9916,27.445811087999985,best_observed,best value of any run in traces/
item_placement_9917,19.489523120000058,best_observed,best value of any run in traces/
item_placement_9918,14.123821759999991,best_observed,best value of any run in traces/
item_placement_9919,10.054088298999915,best_observed,best value of any run in traces/
item_placement_9920,27.51262842099999,best_observed,best value of any run in traces/
item_placement_9921,11.538637902,best_observed,best value of any run in traces/
item_placement_9922,33.63493588100001,best_observed,best value of any run in traces/
item_placement_9923,11.258075206000003,best_observed,best value of any run in traces/
item_placement_9924,13.298111711000022,best_observed,best value of any run in traces/
load_balancing_0,759.0,best_observed,best value of any run in traces/
load_balancing_1,744.0,best_observed,best value of any run in traces/
load_balancing_10,774.0,best_observed,best value of any run in traces/
load_balancing_11,669.0,best_observed,best value of any run in traces/
load_balancing_12,739.0,best_observed,best value of any run in traces/
load_balancing_13,722.9999999999997,best_observed,best value of any run in traces/
load_balancing_14,756.0,best_observed,best value of any run in traces/
load_balancing_15,697.0,best_observed,best value of any run in traces/
load_balancing_16,702.0,best_observed,best value of any run in traces/
load_balancing_17,725.0,best_observed,best value of any run in traces/
load_balancing_18,717.0,best_observed,best value of any run in traces/
load_balancing_19,792.9999999999776,best_observed,best value of any run in traces/
load_balancing_2,653.0,best_observed,best value of any run in traces/
load_balancing_20,722.0,best_observed,best value of any run in traces/
load_balancing_21,654.0,best_observed,best value of any run in traces/
load_balancing_22,769.0,best_observed,best value of any run in traces/
load_balancing_23,716.0,best_observed,best value of any run in traces/
load_balancing_24,658.0,best_observed,best value of any run in traces/
load_balancing_25,715.0,best_observed,best value of any run in traces/
load_balancing_26,773.0,best_observed,best value of any run in traces/
load_balancing_27,666.0,best_observed,best value of any run in traces/
load_balancing_28,666.0,best_observed,best value of any run in traces/
load_balancing_29,676.0,best_observed,best value of any run in traces/
load_balancing_3,758.0,best_observed,best value of any run in traces/
load_balancing_30,763.0,best_observed,best value of any run in traces/
load_balancing_31,735.0,best_observed,best value of any run in traces/
load_balancing_32,741.0000000000051,best_observed,best value of any run in traces/
load_balancing_33,734.0,best_observed,best value of any run in traces/
load_balancing_34,723.0,best_observed,best value of any run in traces/
load_balancing_35,716.0,best_observed,best value of any run in traces/
load_balancing_36,755.0,best_observed,best value of any run in traces/
load_balancing_37,741.0,best_observed,best value of any run in traces/
load_balancing_38,664.0,best_observed,best value of any run in traces/
load_balancing_39,740.0,best_observed,best value of any run in traces/
load_balancing_4,750.0,best_observed,best value of any run in traces/
load_balancing_40,758.0,best_observed,best value of any run in traces/
load_balancing_41,638.0,best_observed,best value of any run in traces/
load_balancing_42,708.0,best_observed,best value of any run in traces/
load_balancing_43,595.0,best_observed,best value of any run in traces/
load_balancing_44,713.0,best_observed,best value of any run in traces/
load_balancing_45,717.0,best_observed,best value of any run in traces/
load_balancing_46,659.0,best_observed,best value of any run in traces/
load_balancing_47,737.0,best_observed,best value of any run in traces/
load_balancing_48,704.0,best_observed,best value of any run in traces/
load_balancing_49,611.0,best_observed,best value of any run in traces/
load_balancing_5,698.0,best_observed,best value of any run in traces/
load_balancing_50,698.0,best_observed,best value of any run in traces/
load_balancing_51,799.0,best_observed,best value of any run in traces/
load_balancing_52,689.0,best_observed,best value of any run in traces/
load_balancing_53,700.0,best_observed,best value of any run in traces/
load_balancing_54,695.0,best_observed,best value of any run in traces/
load_balancing_55,709.0,best_observed,best value of any run in traces/
load_balancing_56,733.0000000000143,best_observed,best value of any run in traces/
load_balancing_57,644.0,best_observed,best value of any run in traces/
load_balancing_58,721.0,best_observed,best value of any run in traces/
load_balancing_59,776.0,best_observed,best value of any run in traces/
load_balancing_6,758.0,best_observed,best value of any run in traces/
load_balancing_60,714.0,best_observed,best value of any run in traces/
load_balancing_61,736.0,best_observed,best value of any run in traces/
load_balancing_62,775.0,best_observed,best value of any run in traces/
load_balancing_63,692.0,best_observed,best value of any run in traces/
load_balancing_64,709.0,best_observed,best value of any run in traces/
load_balancing_65,711.0,best_observed,best value of any run in traces/
load_balancing_66,726.0,best_observed,best value of any run in traces/
load_balancing_67,749.0,best_observed,best value of any run in traces/
load_balancing_68,715.0,best_observed,best value of any run in traces/
load_balancing_69,676.0,best_observed,best value of any run in traces/
load_balancing_7,680.0,best_observed,best value of any run in traces/
load_balancing_70,719.0,best_observed,best value of any run in traces/
load_balancing_71,656.0,best_observed,best value of any run in traces/
load_balancing_72,756.0,best_observed,best value of any run in traces/
load_balancing_73,692.0,best_observed,best value of any run in traces/
load_balancing_74,785.0,best_observed,best value of any run in traces/
load_balancing_75,686.0,best_observed,best value of any run in traces/
load_balancing_76,688.0,best_observed,best value of any run in traces/
load_balancing_77,732.0,best_observed,best value of any run in traces/
load_balancing_78,671.0,best_observed,best value of any run in traces/
load_balancing_79,660.0,best_observed,best value of any run in traces/
load_balancing_8,688.0,best_observed,best value of any run in traces/
load_balancing_80,731.0,best_observed,best value of any run in traces/
load_balancing_81,732.0,best_observed,best value of any run in traces/
load_balancing_82,743.0,best_observed,best value of any run in traces/
load_balancing_83,716.0,best_observed,best value of any run in traces/
load_balancing_84,686.0,best_observed,best value of any run in traces/
load_balancing_85,749.0,best_observed,best value of any run in traces/
load_balancing_86,755.0,best_observed,best value of any run in traces/
load_balancing_87,711.0,best_observed,best value of any run in traces/
load_balancing_88,722.0,best_observed,best value of any run in traces/
load_balancing_89,699.0,best_observed,best value of any run in traces/
load_balancing_9,762.0,best_observed,best value of any run in traces/
load_balancing_90,663.0,best_observed,best value of any run in traces/
load_balancing_91,775.0,best_observed,best value of any run in traces/
load_balancing_92,766.9999999999999,best_observed,best value of any run in traces/
load_balancing_93,697.0,best_observed,best value of any run in traces/
load_balancing_94,770.0,best_observed,best value of any run in traces/
load_balancing_95,672.0,best_observed,best value of any run in traces/
load_balancing_96,738.0,best_observed,best value of any run in traces/
load_balancing_97,707.0,best_observed,best value of any run in traces/
load_balancing_98,677.0,best_observed,best value of any run in traces/
load_balancing_99,684.0,best_observed,best value of any run in traces/
load_balancing_9900,668.0,best_observed,best value of any run in traces/
load_balancing_9901,757.0,best_observed,best value of any run in traces/
load_balancing_9902,750.0,best_observed,best value of any run in traces/
load_balancing_9903,681.0,best_observed,best value of any run in traces/
load_balancing_9904,711.0,best_observed,best value of any run in traces/
load_balancing_9905,675.0,best_observed,best value of any run in traces/
load_balancing_9906,636.0,best_observed,best value of any run in traces/
load_balancing_9907,667.0,best_observed,best value of any run in traces/
load_balancing_9908,684.0,best_observed,best value of any run in traces/
load_balancing_9909,690.0,best_observed,best value of any run in traces/
load_balancing_9910,704.0,best_observed,best value of any run in traces/
load_balancing_9911,719.0,best_observed,best value of any run in traces/
load_balancing_9912,657.0,best_observed,best value of any run in traces/
load_balancing_9913,702.0,best_observed,best value of any run in traces/
load_balancing_9914,682.0,best_observed,best value of any run in traces/
load_balancing_9915,707.0,best_observed,best value of any run in traces/
load_balancing_9916,726.0,best_observed,best value of any run in traces/
load_balancing_9917,762.0,best_observed,best value of any run in traces/
load_balancing_9918,681.0,best_observed,best value of any run in traces/
load_balancing_9919,763.0,best_observed,best value of any run in traces/
load_balancing_9920,630.0,best_observed,best value of any run in traces/
load_balancing_9921,705.0,best_observed,best value of any run in traces/
load_balancing_9922,744.0,best_observed,best value of any run in traces/
load_balancing_9923,729.0,best_observed,best value of any run in traces/
load_balancing_9924,723.0,best_observed,best value of any run in traces/
mad,0.0268,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
markshare2,1.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
mas74,11801.18572,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
mas76,40005.05398999999,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
n3div36,130800.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-1171737,-195.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-1445765,-17783.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-1456979,176.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-2657525-crna,1.810748,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-2746589-doon,2008.199999999999,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-2978193-inde,-2.38806169,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-3004026-krka,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-3046615-murg,1600.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-3381206-awhea,453.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-3656078-kumeu,-13172.2,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-3754480-nidda,12941.73838561778,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-4722843-widden,25009.662227,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-4763324-toguru,1613.03884585,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-787933,30.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-860300,3200.999999999998,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-873061,113.6562385063,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos-911970,54.76,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos17,0.1500025774,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos5,15.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
neos8,-3719.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
net12,214.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
ns1116954,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
ns1952667,0.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
opm2-z10-s4,-33269.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
p200x1188c,15078.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
piperout-27,8123.999999999973,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
pk1,11.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
radiationm40-10-02,155328.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
rail01,-70.5699643,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
rail507,174.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
roll3000,12889.999992,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
rts_gmlc__2020-01-27,1234241.4420783825,best_observed,best value of any run in traces/
rts_gmlc__2020-02-09,2177514.0848946813,best_observed,best value of any run in traces/
rts_gmlc__2020-03-05,2514397.4816764556,best_observed,best value of any run in traces/
rts_gmlc__2020-04-03,2045469.912715883,best_observed,best value of any run in traces/
rts_gmlc__2020-05-05,2434014.9406153853,best_observed,best value of any run in traces/
rts_gmlc__2020-06-09,3722046.333816809,best_observed,best value of any run in traces/
rts_gmlc__2020-07-06,3729194.9208988193,best_observed,best value of any run in traces/
rts_gmlc__2020-08-12,5062686.343414603,best_observed,best value of any run in traces/
rts_gmlc__2020-09-20,2957944.0464969636,best_observed,best value of any run in traces/
rts_gmlc__2020-10-27,1790661.0407753848,best_observed,best value of any run in traces/
rts_gmlc__2020-11-25,975851.9832300546,best_observed,best value of any run in traces/
rts_gmlc__2020-12-23,2714012.106892503,best_observed,best value of any run in traces/
s100,-0.1697235270583,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
satellites2-40,-19.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
seymour,423.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
seymour1,410.76370139,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
sing326,7753674.85376,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
snp-02-004-104,586803238.6567289,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
sorrell3,-16.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
sp150x300d,69.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
sp98ar,529740623.2,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
supportcase18,48.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
supportcase22,110.0,best_known,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
supportcase26,1745.123813,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
supportcase42,7.75863072227,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
swath3,397.76134365,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
timtab1,764771.99999978,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
tr12-30,130595.9999999999,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
traininstance6,28290.0,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
uccase12,11507.4050616,opt,"MIPLIB 2017 solution file (optopt/references/miplib2017.solu, sha256 f9d2877d61b7)"
