set,sol,state
b2_scip,cod105__C:PSC__s1.json.gz,checked_feasible
b2_scip,cod105__C:PSC__s2.json.gz,checked_feasible
b2_scip,cod105__C:PSC__s3.json.gz,checked_feasible
b2_scip,cod105__C:PSC__s4.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:D__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HEU__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HEU__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:INF__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:INF__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:NOC__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:NOC__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,comp21-2idx__C:PSC__s0.json.gz,checked_feasible
b2_scip,comp21-2idx__C:PSC__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:D__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:D__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:D__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:D__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:D__s4.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:HEU__s4.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:HOFF__s4.json.gz,checked_feasible
b2_scip,dano3_3__C:INF__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:INF__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:INF__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:INF__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:INF__s4.json.gz,checked_feasible
b2_scip,dano3_3__C:NOC__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:NOC__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:NOC__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:NOC__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:NOC__s4.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC__s0.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC__s1.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC__s2.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC__s3.json.gz,checked_feasible
b2_scip,dano3_3__C:PSC__s4.json.gz,checked_feasible
b2_scip,dws008-01__C:D__s0.json.gz,checked_feasible
b2_scip,dws008-01__C:HEU__s1.json.gz,checked_feasible
b2_scip,dws008-01__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,dws008-01__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,dws008-01__C:NOC__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:D__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:D__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:HEU__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:HEU__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:HOFF__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:HOFF__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:INF__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:INF__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:NOC__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:NOC__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,eil33-2__C:PSC__s0.json.gz,checked_feasible
b2_scip,eil33-2__C:PSC__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:D__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:D__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:HEU__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:HEU__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:HOFF__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:HOFF__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:INF__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:INF__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:NOC__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:NOC__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,gen-ip054__C:PSC__s0.json.gz,checked_feasible
b2_scip,gen-ip054__C:PSC__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:D__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:D__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:HEU__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:HEU__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:HOFF__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:HOFF__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:INF__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:INF__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:NOC__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:NOC__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,glass-sc__C:PSC__s0.json.gz,checked_feasible
b2_scip,glass-sc__C:PSC__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:D__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HEU__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HEU__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HOFF__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:HOFF__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:INF__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:INF__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:NOC__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:NOC__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:PSC__s0.json.gz,checked_feasible
b2_scip,graphdraw-domain__C:PSC__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:D__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:D__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:D__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:D__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:D__s4.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:HEU__s4.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:HOFF__s4.json.gz,checked_feasible
b2_scip,h80x6320d__C:INF__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:INF__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:INF__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:INF__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:INF__s4.json.gz,checked_feasible
b2_scip,h80x6320d__C:NOC__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:NOC__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:NOC__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:NOC__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:NOC__s4.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC__s0.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC__s1.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC__s2.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC__s3.json.gz,checked_feasible
b2_scip,h80x6320d__C:PSC__s4.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D>PSC@25__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:D__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HEU>HOFF@25__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HEU>HOFF@25__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HEU__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HEU__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HOFF>HEU@stall20__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HOFF>HEU@stall20__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HOFF__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:HOFF__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:INF__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:INF__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:NOC__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:NOC__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:PSC>D@25__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:PSC>D@25__s1.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:PSC__s0.json.gz,checked_feasible
b2_scip,hypothyroid-k1__C:PSC__s1.json.gz,checked_feasible
b2_scip,ic97_potential__C:D+RST@25__s0.json.gz,checked_feasible
b2_scip,ic97_potential__C:D+RST@25__s1.json.gz,checked_feasible
b2_scip,ic97_potential__C:D+RST@stall20__s0.json.gz,checked_feasible
b2_scip,ic97_potential__C:D+RST@stall20__s1.json.gz,checked_feasible
b2_scip,ic97_potential__C:D>PSC@25__s0.json.gz,checked_feasible
b2_scip,ic97_potential__C:D>PSC@25__s1.json.gz,checked_feasible
